c_indentation_checker.py: DEBUG: <module>(): 200:	File: binary_matrix.c
c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (!(row <= M->num_rows - 1)) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (!(row <= M->num_rows - 1)) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (!(row <= M->num_rows - 1)) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (!(row <= M->num_rows - 1)) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		return 0;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		return 0;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		return 0;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		return 0;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (col < 0) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (col < 0) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (col < 0) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (col < 0) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		return 0;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		return 0;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		return 0;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		return 0;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	if (row < 0) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	if (row < 0) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	if (row < 0) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	if (row < 0) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		return 0;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		return 0;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		return 0;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		return 0;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	return 1;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	return 1;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	return 1;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	return 1;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally }

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: }
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to }
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: }
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally /*

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: /*
c_indentation_checker.py: DEBUG: stripComments(): 47:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Input:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Input:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      BinaryMatrix* M

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      BinaryMatrix* M
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Output:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Output:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Prints entry

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Prints entry
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  * Summary:

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  * Summary:
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  *      Prints entries of *M

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  *      Prints entries of *M
c_indentation_checker.py: DEBUG: stripComments(): 39:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally  */

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped:  */
c_indentation_checker.py: DEBUG: stripComments(): 35:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally void PrintMatrix(BinaryMatrix * M)

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: void PrintMatrix(BinaryMatrix * M)
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to void PrintMatrix(BinaryMatrix * M)
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: void PrintMatrix(BinaryMatrix * M)
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	int i, j;

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	int i, j;
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	int i, j;
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	int i, j;
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	for (i = 0; i < M->num_rows; i++) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	for (i = 0; i < M->num_rows; i++) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	for (i = 0; i < M->num_rows; i++) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	for (i = 0; i < M->num_rows; i++) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		for (j = 0; j < M->num_cols; j++) {

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		for (j = 0; j < M->num_cols; j++) {
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		for (j = 0; j < M->num_cols; j++) {
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		for (j = 0; j < M->num_cols; j++) {
c_indentation_checker.py: DEBUG: updateLevel(): 143:	opening {
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 			printf("%d", (M->data[i][j]));

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 			printf("%d", (M->data[i][j]));
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 			printf("%d", (M->data[i][j]));
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 			printf("%d", (M->data[i][j]));
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 3
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 		printf("\n");

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 		printf("\n");
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 		printf("\n");
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 		printf("\n");
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 2
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally 	}

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: 	}
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to 	}
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: 	}
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 1
c_indentation_checker.py: DEBUG: checkLine(): 159:	line originally }

c_indentation_checker.py: DEBUG: stripComments(): 32:	C++ stripped: }
c_indentation_checker.py: DEBUG: stripComments(): 51:	
c_indentation_checker.py: DEBUG: checkLine(): 161:	line stripped to }
c_indentation_checker.py: DEBUG: updateLevel(): 140:	checking line: }
c_indentation_checker.py: DEBUG: updateLevel(): 151:	closing }
c_indentation_checker.py: DEBUG: checkLine(): 171:	Indentation Level: 0
